GameID,SnapID,PlayerID,Mode,Map,Time,Latency,Character,K,A,D,Damage,H,MIT,Result
1,0,0,Unknown,Unknown,0:49,70MS,label_Sigma,1, , 1, 1266, 9, 2927,lose
1,0,1,Unknown,Unknown,0:49,70MS,label_Genji,2, 2, , 1071, , 13,lose
1,0,2,Unknown,Unknown,0:49,70MS,label_Soldier_76,, , 1, 351, , ,lose
1,0,3,Unknown,Unknown,0:49,70MS,label_Juno,, , 5, , 10, ,lose
1,0,4,Unknown,Unknown,0:49,70MS,label_Ana,, , 1, 160, 887, 0,lose
1,0,5,Unknown,Unknown,0:49,70MS,label_Orisa,2, , 3, 824, , 110,lose
1,0,6,Unknown,Unknown,0:49,70MS,label_Bastion,1, , 1, 884, , 30,lose
1,0,7,Unknown,Unknown,0:49,70MS,label_Venture,2, 5, , 1003, , 266,lose
1,0,8,Unknown,Unknown,0:49,70MS,label_Kiriko,, 1, 3, 360, 856, ,lose
1,0,9,Unknown,Unknown,0:49,70MS,label_Mercy,, 1, 1, , 518, ,lose
1,1,0,Unknown,Unknown,2:48,87MS,label_Sigma,9, 3, 1, 4872, , 5507,lose
1,1,1,Unknown,Unknown,2:48,87MS,label_Genji,9, 1, , 3169, , 658,lose
1,1,2,Unknown,Unknown,2:48,87MS,label_Soldier_76,5, , 3, 1965, 307, 9,lose
1,1,3,Unknown,Unknown,2:48,87MS,label_Juno,3, 6, 1, 360, 1245, ,lose
1,1,4,Unknown,Unknown,2:48,87MS,label_Ana,7, 6, 2, 1858, 2160, 429,lose
1,1,5,Unknown,Unknown,2:48,87MS,label_Reinhardt,4, , 3, 2519, 258, 886,lose
1,1,6,Unknown,Unknown,2:48,87MS,label_Junkrat,3, , 3, 1867, , 60,lose
1,1,7,Unknown,Unknown,2:48,87MS,label_Venture,3, , 2, 3194, , 829,lose
1,1,8,Unknown,Unknown,2:48,87MS,label_Moira,2, 3, 2, 1010, 3252, ,lose
1,1,9,Unknown,Unknown,2:48,87MS,label_Mercy,, 5, 3, , 2152, ,lose
1,2,0,Unknown,Unknown,2:50,86MS,label_Sigma,9, 3, 1, 4872, , 5507,lose
1,2,1,Unknown,Unknown,2:50,86MS,label_Genji,9, 1, 1, 3169, , 658,lose
1,2,2,Unknown,Unknown,2:50,86MS,label_Soldier_76,5, , 3, 1965, 307, ,lose
1,2,3,Unknown,Unknown,2:50,86MS,label_Juno,3, 6, 1, 360, 1245, ,lose
1,2,4,Unknown,Unknown,2:50,86MS,label_Ana,7, 6, 2, 1858, 2160, 429,lose
1,2,5,Unknown,Unknown,2:50,86MS,label_Reinhardt,4, , 3, 2519, 258, 886,lose
1,2,6,Unknown,Unknown,2:50,86MS,label_Junkrat,3, , 3, 1867, , 60,lose
1,2,7,Unknown,Unknown,2:50,86MS,label_Venture,4, , 2, 3228, , 829,lose
1,2,8,Unknown,Unknown,2:50,86MS,label_Moira,3, 3, 2, 1023, 3252, ,lose
1,2,9,Unknown,Unknown,2:50,86MS,label_Mercy,, 6, 3, , 2170, ,lose
1,3,0,Unknown,Unknown,3:47,73MS,label_Sigma,10, 3, 3, 5688, , 6849,lose
1,3,1,Unknown,Unknown,3:47,73MS,label_Genji,9, 1, 2, 3787, , 658,lose
1,3,2,Unknown,Unknown,3:47,73MS,label_Soldier_76,6, , 4, 3009, 513, ,lose
1,3,3,Unknown,Unknown,3:47,73MS,label_Juno,3, 6, 1, 931, 1419, ,lose
1,3,4,Unknown,Unknown,3:47,73MS,label_Ana,8, 7, 3, 2068, 2456, 429,lose
1,3,5,Unknown,Unknown,3:47,73MS,label_Reinhardt,7, 9, 3, 3662, 258, 2903,lose
1,3,6,Unknown,Unknown,3:47,73MS,label_Junkrat,4, , 3, 2478, , 60,lose
1,3,7,Unknown,Unknown,3:47,73MS,label_Venture,7, 1, 2, 4123, , 910,lose
1,3,8,Unknown,Unknown,3:47,73MS,label_Moira,6, 5, 2, 1487, 4309, 9,lose
1,3,9,Unknown,Unknown,3:47,73MS,label_Mercy,1, 7, 4, 90, 3295, ,lose
1,4,0,Unknown,Unknown,4:51,71MS,label_DVa,10, 3, 4, 5927, 9, 7174,lose
1,4,1,Unknown,Unknown,4:51,71MS,label_Genji,1, 1, 4, 4453, , 658,lose
1,4,2,Unknown,Unknown,4:51,71MS,label_Soldier_76,7, , 5, 3917, 751, ,lose
1,4,3,Unknown,Unknown,4:51,71MS,label_Juno,3, 6, 4, 968, 1659, 6,lose
1,4,4,Unknown,Unknown,4:51,71MS,label_Ana,10, 8, 4, 2438, 2963, 429,lose
1,4,5,Unknown,Unknown,4:51,71MS,label_Reinhardt,8, 5, 4, 3695, 258, 2903,lose
1,4,6,Unknown,Unknown,4:51,71MS,label_Junkrat,5, 8, 4, 2953, , 60,lose
1,4,7,Unknown,Unknown,4:51,71MS,label_Venture,12, 1, 2, 5710, , 1103,lose
1,4,8,Unknown,Unknown,4:51,71MS,label_Moira,12, 5, 2, 2824, 4782, ,lose
1,4,9,Unknown,Unknown,4:51,71MS,label_Mercy,2, 1, 4, 154, 3730, ,lose
1,5,0,Unknown,Unknown,4:57,71MS,label_DVa,10, 3, 4, 5927, , 7174,lose
1,5,1,Unknown,Unknown,4:57,71MS,label_Genji,1, 1, 4, 4453, , 658,lose
1,5,2,Unknown,Unknown,4:57,71MS,label_Bastion,7, , 5, 3917, 751, ,lose
